"Modalidad de
Crédito",Capital,Interés,Mora,"Gastos
Administrativos","Monto
Recuperado",pagina_origen
Crédito Ordinario,1 773 330.80,781 941.55,341 805.56,397 071.46,3 294 149.37,39
Crédito 18,516 633.55,59 492.94,693.63,1102.19,577 922.31,39
Crédito Convenio,14 609.51,7.08,-,-,14 616.59,39
Crédito Continuidad,95.82,15.48,-,-,111.30,39
Total general,2 304 669.68,841 457.05,342 499.19,398 173.65,3 886 799.57,39
