Modalidad de crédito educativo,"Beneficiarios con
desembolsos","Monto
desembolsado (S/)",Participación %,pagina_origen
Crédito Talento,174,2 923 078,63,35
Crédito 18,150,1 018 761,22,35
Crédito Continuidad,189,663 732,14,35
Total,513,4 605 571,100 %,35
