codigo_beca,nombre_beca,tipo_instituciones,nombre_institucion,tipo_institucion,ubicacion,region,programa,modalidad_programa
fulbright,Becas Fulbright,Universidades de Estados Unidos,Harvard University,Internacional,Estados Unidos,Estados Unidos,Maestrías y Doctorados,Presencial
fulbright,Becas Fulbright,Universidades de Estados Unidos,Stanford University,Internacional,Estados Unidos,Estados Unidos,Maestrías y Doctorados,Presencial
fulbright,Becas Fulbright,Universidades de Estados Unidos,MIT,Internacional,Estados Unidos,Estados Unidos,Maestrías y Doctorados,Presencial
