codigo_beca,nombre_beca,tipo_instituciones,nombre_institucion,tipo_institucion,ubicacion,region,programa,modalidad_programa
chevening,Becas Chevening,Universidades de Reino Unido,University of Oxford,Internacional,Reino Unido,Reino Unido,Maestrías y Doctorados,Presencial
chevening,Becas Chevening,Universidades de Reino Unido,University of Cambridge,Internacional,Reino Unido,Reino Unido,Maestrías y Doctorados,Presencial
chevening,Becas Chevening,Universidades de Reino Unido,Imperial College London,Internacional,Reino Unido,Reino Unido,Maestrías y Doctorados,Presencial
