NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,Estrato_socioeconomico,TipoUniversidad,Estado,Quintil,NotaMinima,Fuente,TipoInstitucion,Region,CodigoBeca,Ubicacion,Categoria,Cobertura,URL_Oficial,Migracion
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,3.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Todas las carreras elegibles,Repared,Víctimas de violencia,Privada,Licenciada,3.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Internacional
Beca 18,Universidad Católica Santo Toribio de Mogrovejo,2025,Chiclayo,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Privada,Chiclayo,beca_18,,,,,Internacional
Beca 18,Universidad Señor de Sipán,2025,Chiclayo,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Privada,Chiclayo,beca_18,,,,,Internacional
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Pública,Licenciada,4.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Pública,Licenciada,4.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Pública,Licenciada,4.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,EIB,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Protección,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,CNA y PA,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,FF.AA.,Variable,Pública,Licenciada,4.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Todas las carreras elegibles,Repared,Víctimas de violencia,Pública,Licenciada,4.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Santa,2025,Chimbote,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Pública,Chimbote,beca_18,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Pública,Licenciada,5.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Pública,Licenciada,5.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Pública,Licenciada,5.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,EIB,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Protección,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,CNA y PA,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,FF.AA.,Variable,Pública,Licenciada,5.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Todas las carreras elegibles,Repared,Víctimas de violencia,Pública,Licenciada,5.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional José Faustino Sánchez Carrión,2025,Huacho,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Pública,Huacho,beca_18,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Privada,Licenciada,1.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Privada,Licenciada,1.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Vraem,Pobre o Pobre Extrema,Privada,Licenciada,1.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,EIB,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Protección,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,CNA y PA,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,FF.AA.,Variable,Privada,Licenciada,1.0,Medio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Todas las carreras elegibles,Repared,Víctimas de violencia,Privada,Licenciada,1.0,Nota mínima de 12.0,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Según modalidad,Ordinaria,Variable según modalidad,,,,,,Privada,Huancavelica,beca_18,,,,,Posible migración
Beca 18,Universidad Para el Desarrollo Andino,2025,Huancavelica,Según modalidad,Vraem,Variable según modalidad,,,,,,Privada,Huancavelica,beca_18,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Ordinaria,Pobre o Pobre Extrema,Pública,Licenciada,4.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
Beca 18,Universidad Nacional del Centro del Perú,2025,Huancayo,Todas las carreras elegibles,Huallaga,Pobre o Pobre Extrema,Pública,Licenciada,4.0,Tercio superior,Lista oficial PRONABEC 2025,,,,,,,,Posible migración
