NombreBeca,Anio,EstratoSocioeconomico,Nota
Beca 18,2023,Pobre,Los becarios son pobres o pobres extremos según SISFOH
Beca 18,2023,Pobre Extremo,Los becarios son pobres o pobres extremos según SISFOH
