NombreBeca,Anio,EstadoMigracion,CantidadBecarios,Porcentaje,DestinoMayoritario
Beca 18,2023,Migró,2152,43.1,Lima
Beca 18,2023,No Migró,2846,56.9,Su mismo departamento
