NombreBeca,AnioBecariosConfirmados,TipoPrograma,BecariosNuevos,BecariosContinuadores,TotalBecarios,Modalidad
Beca Posgrado,2020,Doctorado,22,61,83,Beca Posgrado Internacional
Beca Posgrado,2020,Maestría,130,244,374,Beca Posgrado Internacional
