NombreBeca,Institucion,AnioBecariosConfirmados,Departamento,Carrera,Modalidad,EstratoSocioeconomico,Migracion,CantidadBecarios,TipoBeneficio,MontoDesembolsado
Crédito Talento,Diversas,2021,Ica,Diversas,Crédito Educativo,No especificado,No especificado,6,Crédito,17701.0
Crédito Talento,Diversas,2021,Puno,Diversas,Crédito Educativo,No especificado,No especificado,4,Crédito,4264.0
Crédito Talento,Diversas,2021,Tacna,Diversas,Crédito Educativo,No especificado,No especificado,4,Crédito,12337.0
Crédito Talento,Diversas,2021,Loreto,Diversas,Crédito Educativo,No especificado,No especificado,4,Crédito,15858.0
Crédito Talento,Diversas,2021,San Martín,Diversas,Crédito Educativo,No especificado,No especificado,3,Crédito,0.0
Crédito Talento,Diversas,2021,Ucayali,Diversas,Crédito Educativo,No especificado,No especificado,3,Crédito,10411.0
Crédito Talento,Diversas,2021,Tumbes,Diversas,Crédito Educativo,No especificado,No especificado,3,Crédito,6308.0
Crédito Talento,Diversas,2021,Huánuco,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,6567.0
Crédito Talento,Diversas,2021,Apurímac,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,1633.0
Crédito Talento,Diversas,2021,Moquegua,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,3550.0
Crédito Talento,Diversas,2021,Amazonas,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,3923.0
Crédito Talento,Diversas,2021,Madre de Dios,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,971.0
Crédito Talento,Diversas,2021,Total,Diversas,Crédito Educativo,No especificado,No especificado,191,Crédito,78590.0
Crédito 18,Diversas,2021,Lima,Diversas,Crédito Educativo,No especificado,No especificado,170,Crédito,1862562.0
Crédito 18,Diversas,2021,Callao,Diversas,Crédito Educativo,No especificado,No especificado,21,Crédito,265031.0
Crédito 18,Diversas,2021,Junín,Diversas,Crédito Educativo,No especificado,No especificado,5,Crédito,76647.0
Crédito 18,Diversas,2021,Ica,Diversas,Crédito Educativo,No especificado,No especificado,4,Crédito,42277.0
Crédito 18,Diversas,2021,Cusco,Diversas,Crédito Educativo,No especificado,No especificado,3,Crédito,20680.0
Crédito 18,Diversas,2021,Cajamarca,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,14009.0
Crédito 18,Diversas,2021,Tacna,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,19022.0
Crédito 18,Diversas,2021,Huánuco,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,20287.0
Crédito 18,Diversas,2021,Áncash,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,42077.0
Crédito 18,Diversas,2021,Lambayeque,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,39047.0
Crédito 18,Diversas,2021,Pasco,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,0.0
Crédito 18,Diversas,2021,Huancavelica,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,10395.0
Crédito 18,Diversas,2021,Puno,Diversas,Crédito Educativo,No especificado,No especificado,2,Crédito,30116.0
Crédito 18,Diversas,2021,Ayacucho,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,3761.0
Crédito 18,Diversas,2021,Madre de Dios,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,266.0
Crédito 18,Diversas,2021,Piura,Diversas,Crédito Educativo,No especificado,No especificado,1,Crédito,7050.0
