TipoBeca,NombreBeca,Meta,BecasOtorgadas,PorcentajeOtorgamiento,AnioBecariosConfirmados
Pregrado,Beca 18,10 000,10 004,100.0,2024
Posgrado,Beca Generación del Bicentenario,150,150,100.0,2024
Especiales,Beca Inclusión Técnico-Productiva,100,100,100.0,2024
